Gas;Name;Unit;20C;40C;60C;100C
SF6;Freundeberg EPDM910;[cm3(NTP)*mm/(m2*h*bar)];0,94;;;
SF6;Freundeberg EPDM810;[cm3(NTP)*mm/(m2*h*bar)];9,4;;;
